Object,Type,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"flux R (measured, W/m^2)","flux G (measured, W/m^2)","flux B (measured, W/m^2)","flux V (measured, W/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Apparent magnitude V (instrumental),Airmass
SDSS J134100.38+492352.7,Bader,2024-03-06T20:50:10.490,205.25157791666663,49.397981944444446,205.23724883534817,49.384587424302204,0.016321752219735985,,,,,,,37.697454605570954,,,,-3.940780067286704,1.694747
SDSS J134111.37+492627.6,Bader,2024-03-06T20:50:10.490,205.2973808333333,49.44103388888889,205.2946548786237,49.43545535083707,0.005853391698790336,,,,,,,109.6803091201273,,,,-5.100321664468601,1.694747
SDSS J134128.52+492438.1,Bader,2024-03-06T20:50:10.490,205.36885916666665,49.410598888888885,205.37550096280003,49.404610888677624,0.007384627360309346,,,,,,,49.648085448398206,,,,-4.239756264242261,1.694747
SDSS J134132.29+492928.0,Bader,2024-03-06T20:50:10.490,205.38456249999996,49.49111388888889,205.4028159110959,49.48564286825115,0.013058765631542162,,,,,,,45.533719575489954,,,,-4.145832821417804,1.694747
SDSS J134137.20+492326.9,Bader,2024-03-06T20:50:10.490,205.40499999999997,49.39082222222222,205.36409901646311,49.36339149924856,0.03823069480007667,,,,,,,9.67363723140707,,,,-2.4639744924790934,1.694747
SDSS J134144.69+492839.6,Bader,2024-03-06T20:50:10.490,205.43624166666666,49.47768333333334,205.46382905121206,49.45733744503278,0.027117983452209303,,,,,,,17.648546079045076,,,,-3.1167723329701795,1.694747
SDSS J134158.86+492502.5,Bader,2024-03-06T20:50:10.490,205.49524541666665,49.417382499999995,205.4619820831229,49.414379328177205,0.02184731369654665,,,,,,,10.741144173903479,,,,-2.577626364941828,1.694747
SDSS J134207.45+493136.6,Bader,2024-03-06T20:50:10.490,205.53107749999998,49.526853333333335,205.48903381269866,49.54760957914988,0.0342820758125464,,,,,,,86.3638755870615,,,,-4.840830307763308,1.694747
SDSSCGB 9701.1,Bader,2024-03-06T20:50:10.490,205.41194874999997,49.55240055555555,205.44660249944155,49.523663126632314,0.03649060171095282,,,,,,,30.262047905564543,,,,-3.7022457860843887,1.694747
SDSSCGB 9701.2,Bader,2024-03-06T20:50:10.490,205.4088333333333,49.551941666666664,205.3756846619778,49.539684226326216,0.02475573793613455,,,,,,,20.768737256809573,,,,-3.2935252303759266,1.694747
SDSSCGB 9701.3,Bader,2024-03-06T20:50:10.490,205.41189999999997,49.55394166666667,205.40502060954478,49.593808669739815,0.04011581944554379,,,,,,,18.388061602095377,,,,-3.1613398750414055,1.694747
SDSSCGB 9701.4,Bader,2024-03-06T20:50:10.490,205.4149833333333,49.55384166666666,205.43749479239003,49.57112082481006,0.022622304078217022,,,,,,,8.584114354113666,,,,-2.3342387362314527,1.694747
[SPD2011] 26347,Bader,2024-03-06T20:50:10.490,205.45833333333331,49.361666666666665,205.4442215686291,49.35929501547786,0.009492022380440937,,,,,,,30.713536766403507,,,,-3.7183245744593307,1.694747
2MASS J13412857+4939085,ZWO,2024-03-06T22:09:59.278,205.36893916666665,49.65231083333333,205.35962284856552,49.619818883904834,0.03304741129674347,,,,,,10.171142872940536,,,,-2.518424387106497,,1.349777
2MASS J13421665+4921143,ZWO,2024-03-06T22:09:59.278,205.56930916666664,49.35399638888889,205.55254647026575,49.34354948687856,0.015112460629798099,,,,,,19.6421496038014,,,,-3.2329725362729085,,1.349777
