Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
UCAC4 671-056981,2023-04-03 23:32:33.846,194.25201875,44.08410611111111,194.28821343466072,44.06566507374493,0.0318786493273801,,,14.607,,,556.9140460836782,,,-1.9788641551254864,1.016805,,,-1.9272429514006895
[VV2006] J125711.4+435654,2023-04-03 23:32:33.846,194.29742916666663,43.94843611111111,194.26500992732755,43.95509879904275,0.024271772490047,,,19.89,,,93.47046432970546,,,-0.0410797267102374,1.016805,,,0.010541477014559604
BD+44  2235,2023-04-03 23:45:31.252,194.26339291666665,44.00939055555556,194.25353433706243,44.023817067107935,0.0160744471393376,,,11.283,,,66.02692113342118,,,0.336303657628448,1.012475,,,0.527619684803515
BD+44  2236,2023-04-03 23:45:31.252,194.3568083333333,44.03411805555555,194.37003154249865,44.05400780768309,0.0220441742962045,,,12.118,,,58.67233375132582,,,0.4645228659445856,1.012475,,,0.6558388931196525
BD+44  2237,2023-04-03 23:45:31.252,194.35763874999995,43.94248611111111,194.36988461973525,43.94764934064697,0.0102176353367245,,,11.74,,,1694.9008463005546,,,-3.187254467758156,1.012475,,,-2.995938440583089
GALEX J125702.3+435245,2023-04-03 23:45:31.252,194.2596116666666,43.87941444444444,194.27493321436376,43.91189404620627,0.0343048537035353,,,18.1,,,279.9510200743773,,,-1.2320988621487432,1.012475,,,-1.0407828349736763
TYC 3023-1727-1,2023-04-03 23:45:31.252,194.45246958333328,44.14454194444444,194.4505317258868,44.129056890168464,0.0155473830316073,,,12.18,,,649.2617222196316,,,-2.1454432249634485,1.012475,,,-1.9541271977883816
TYC 3023-1747-1,2023-04-03 23:45:31.252,194.32141541666664,44.016803333333336,194.3238078302885,43.98122983907274,0.035615099176117,,,12.02,,,585.1381132731569,,,-2.032539693970116,1.012475,,,-1.841223666795049
TYC 3023-1899-1,2023-04-03 23:45:31.252,194.1680658333333,43.94271277777777,194.15988031204415,43.93255267624151,0.0117461104082154,,,12.427,,,87.90851759966051,,,0.0255288820652571,1.012475,,,0.21684490924032404
TYC 3023-1974-1,2023-04-03 23:45:31.252,194.15329875,44.24989027777778,194.16976520628967,44.21984580205269,0.032277903412302,,,12.111,,,932.8370968021752,,,-2.5389082480483003,1.012475,,,-2.347592220873233
UCAC4 671-056978,2023-04-03 23:45:31.252,194.23035625,44.08350444444444,194.23811015034957,44.09362864401443,0.0115549620345839,,,13.154,,,118.02394240287492,,,-0.2943190200632575,1.012475,,,-0.10300299288819056
UCAC4 671-056981,2023-04-03 23:45:31.252,194.25201875,44.08410611111111,194.285344606707,44.06530818195477,0.0304401230978084,,,14.607,,,1521.1377078482133,,,-3.0698150571479568,1.012475,,,-2.8784990299728896
[VV2006] J125713.1+435912,2023-04-03 23:45:31.252,194.3046125,43.9867075,194.28194856455733,43.95962119874832,0.0316180050326215,,,19.46,,,94.42746460356886,,,-0.0521395487728184,1.012475,,,0.13917647840224853
BD+44  2235,2023-04-03 23:58:26.495,194.26339291666665,44.00939055555556,194.23901718153647,44.02143597721875,0.0212694356521678,,,11.283,,,67.55874861821445,,,0.3114022821130768,1.009602,,,-0.18554953564464982
BD+44  2236,2023-04-03 23:58:26.495,194.3568083333333,44.03411805555555,194.3555139336244,44.05165362104047,0.0175602327814081,,,12.118,,,54.77312529935864,,,0.5391874684946292,1.009602,,,0.04223565073690255
BD+44  2237,2023-04-03 23:58:26.495,194.35763874999995,43.94248611111111,194.3554323317736,43.945302118285234,0.0032332261738926,,,11.74,,,1713.8195205305924,,,-3.1993064393244,1.009602,,,-3.6962582570821265
GALEX J125702.3+435245,2023-04-03 23:58:26.495,194.2596116666666,43.87941444444444,194.2604763093202,43.90952894245309,0.030120943134557,,,18.1,,,278.9988755503672,,,-1.228399858750065,1.009602,,,-1.7253516765077916
GEN# +7.00320230,2023-04-03 23:58:26.495,194.4333333333333,44.14666666666667,194.41538660873675,44.18113955366404,0.0367983937596219,,,12.41,,,9.237765085435512,,,2.471688988530876,1.009602,,,1.9747371707731496
TYC 3023-1727-1,2023-04-03 23:58:26.495,194.45246958333328,44.14454194444444,194.43598509806108,44.12673142552263,0.0213818269640111,,,12.18,,,657.6076906089348,,,-2.1593109353042568,1.009602,,,-2.6562627530619833
TYC 3023-1747-1,2023-04-03 23:58:26.495,194.32141541666664,44.016803333333336,194.3304204092934,44.00602726046797,0.0125724915601167,,,12.02,,,32.59534277306159,,,1.1027173924812783,1.009602,,,0.6057655747235517
TYC 3023-1899-1,2023-04-03 23:58:26.495,194.1680658333333,43.94271277777777,194.1691443109026,43.958389260654286,0.0156956991408997,,,12.427,,,33.2473707124272,,,1.0812130089166403,1.009602,,,0.5842611911589137
TYC 3023-1974-1,2023-04-03 23:58:26.495,194.15329875,44.24989027777778,194.15519772272572,44.21745345155358,0.0324653502927873,,,12.111,,,959.0788518970523,,,-2.569029513191728,1.009602,,,-3.0659813309494544
UCAC4 671-056976,2023-04-03 23:58:26.495,194.1467458333333,44.04041722222222,194.1321762621319,44.06102268218805,0.0231135777626626,,,15.111,,,22.015846479153534,,,1.5287678032364016,1.009602,,,1.031815985478675
UCAC4 671-056978,2023-04-03 23:58:26.495,194.23035625,44.08350444444444,194.22357381687385,44.09126452325726,0.0091625387116365,,,13.154,,,122.96488726886622,,,-0.3388465163337339,1.009602,,,-0.8357983340914605
UCAC4 671-056981,2023-04-03 23:58:26.495,194.25201875,44.08410611111111,194.2906716479964,44.06784676116317,0.032178880932613,,,14.607,,,574.8357831312442,,,-2.0132532134911543,1.009602,,,-2.510205031248881
[VV2006] J125713.1+435912,2023-04-03 23:58:26.495,194.3046125,43.9867075,194.2674933465005,43.95728306200368,0.0397420318962131,,,19.46,,,94.94221301806247,,,-0.058042102692268,1.009602,,,-0.5549939204499946
