Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),Apparent magnitude V (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
V* RZ Cep,2022-12-07 21:03:48.243,339.8049033333333,64.85850305555554,339.8123814525682,64.86033277594017,0.0036662332884108,9.300000190734863,9.294269561767578,9.48,9.49,,,1575.883700400991,,,-4.8556291461760255,1.140269,,,-3.3661271173871903
TYC 4273-1186-1,2022-12-07 21:08:56.060,339.8064062499999,65.00935527777777,339.8265047876225,65.02709894212154,0.0196694532076175,,11.109890937805176,11.52,11.2,,,477.7249882054291,,,-3.55976363318564,1.146219,,,-2.4038613389910246
TYC 4273-149-1,2022-12-07 21:08:56.060,339.36657125,64.86602138888888,339.3767950676957,64.89063721946788,0.0249955700382124,,12.062689781188965,12.75,12.0,,,162.1136011549927,,,-2.3863673702723744,1.146219,,,-1.2304650760777591
TYC 4273-319-1,2022-12-07 21:08:56.060,339.58776499999993,65.066285,339.5637094134345,65.10371806424008,0.0387805581314669,,12.238874435424805,12.89,12.44,,,356.25399426887464,,,-3.2412180929705685,1.146219,,,-2.0853157987759534
TYC 4273-351-1,2022-12-07 21:08:56.060,340.0602133333333,65.05962083333333,340.0242546064083,65.0958767505094,0.0392949362113308,,12.543932914733888,12.68,12.2,,,105.96369229718732,,,-1.924711444363325,1.146219,,,-0.7688091501687098
TYC 4273-435-1,2022-12-07 21:08:56.060,339.8296558333333,64.86889416666666,339.84399441569934,64.90541625495439,0.0370255877079907,,12.39925765991211,12.99,12.02,,,724.973550185887,,,-4.012624142573153,1.146219,,,-2.8567218483785375
TYC 4273-659-1,2022-12-07 21:08:56.060,340.02271916666666,64.95526805555556,339.9616413053438,64.94083955840657,0.0296152939801016,,10.68376636505127,11.52,10.84,,,194.4028058286221,,,-2.5835750593332945,1.146219,,,-1.4276727651386791
TYC 4273-695-1,2022-12-07 21:08:56.060,339.6230466666666,65.06957249999999,339.608553209487,65.09099390860824,0.0222748647762768,,11.706887245178224,12.47,12.15,,,516.7514943273369,,,-3.645023090195798,1.146219,,,-2.489120796001183
TYC 4273-822-1,2022-12-07 21:08:56.060,339.8645287499999,65.14470083333335,339.86846031708467,65.10903319690316,0.0357059500991449,,10.90470027923584,11.65,10.91,,,193.6249674703893,,,-2.5792221317527693,1.146219,,,-1.423319837558154
TYC 4273-849-1,2022-12-07 21:08:56.060,339.3875783333333,65.02880222222223,339.4352097873458,65.02174326934716,0.0213137570579938,,12.342562675476074,13.1,12.34,,,1573.897977399457,,,-4.854260180411695,1.146219,,,-3.69835788621708
V* RZ Cep,2022-12-07 21:08:56.060,339.8049033333333,64.85850305555554,339.82398245754985,64.85806482934777,0.0081177678599259,9.300000190734863,9.294269561767578,9.48,9.49,,,1441.9124762095407,,,-4.75916598623625,1.146219,,,-3.6032636920416348
TYC 4273-1186-1,2022-12-07 21:14:03.933,339.8064062499999,65.00935527777777,339.8401573173487,65.02545631541496,0.0215042983834641,,11.109890937805176,11.52,11.2,,,431.4814564054599,,,-3.449224077150604,1.152333,,,-2.302070660221614
TYC 4273-1351-1,2022-12-07 21:14:03.933,339.94506458333325,64.84511472222222,339.9419699509453,64.88652679997728,0.0414329321175633,,11.598641395568848,12.35,12.03,,,172.8046832714088,,,-2.455707508110621,1.152333,,,-1.308554091181631
TYC 4273-149-1,2022-12-07 21:14:03.933,339.36657125,64.86602138888888,339.3904372266588,64.88901239527537,0.0251247319686581,,12.062689781188965,12.75,12.0,,,146.03524316575965,,,-2.272962932616398,1.152333,,,-1.125809515687408
TYC 4273-319-1,2022-12-07 21:14:03.933,339.58776499999993,65.066285,339.50313984006607,65.068829230163,0.0357642896998762,,12.238874435424805,12.89,12.44,,,222.0460849297777,,,-2.727926537710598,1.152333,,,-1.5807731207816078
TYC 4273-435-1,2022-12-07 21:14:03.933,339.8296558333333,64.86889416666666,339.8575886157781,64.9037619868589,0.0368280918821976,,12.39925765991211,12.99,12.02,,,667.8320792852721,,,-3.923486928582253,1.152333,,,-2.776333511653263
TYC 4273-659-1,2022-12-07 21:14:03.933,340.02271916666666,64.95526805555556,339.97520981243696,64.93916775693731,0.0257672777903697,,10.68376636505127,11.52,10.84,,,184.02821601141096,,,-2.5240297773550626,1.152333,,,-1.3768763604260725
TYC 4273-695-1,2022-12-07 21:14:03.933,339.6230466666666,65.06957249999999,339.60432287024497,65.087691052774,0.0197618233527943,,11.706887245178224,12.47,12.15,,,229.3757547260941,,,-2.7631875136881545,1.152333,,,-1.6160340967591644
TYC 4273-822-1,2022-12-07 21:14:03.933,339.8645287499999,65.14470083333335,339.8821894792597,65.10740259740673,0.0380307929153859,,10.90470027923584,11.65,10.91,,,178.0657360575367,,,-2.488269635384164,1.152333,,,-1.3411162184551737
TYC 4273-849-1,2022-12-07 21:14:03.933,339.3875783333333,65.02880222222223,339.44891179786185,65.0201263378555,0.0273115468973605,,12.342562675476074,13.1,12.34,,,1467.5230336980826,,,-4.778281053488003,1.152333,,,-3.631127636559013
V* RZ Cep,2022-12-07 21:14:03.933,339.8049033333333,64.85850305555554,339.8375954919921,64.85643894036215,0.0140424969600707,9.300000190734863,9.294269561767578,9.48,9.49,,,1385.4546072185117,,,-4.715799490257561,1.152333,,,-3.568646073328571
TYC 4273-1186-1,2022-12-07 21:19:12.085,339.8064062499999,65.00935527777777,339.831142201967,65.02612093372318,0.0197541243408075,,11.109890937805176,11.52,11.2,,,1252.6454388004413,,,-4.606389140658902,1.158658,,,-3.390434393509237
TYC 4273-1351-1,2022-12-07 21:19:12.085,339.94506458333325,64.84511472222222,339.9487509550267,64.8807955122187,0.0357151349253863,,11.598641395568848,12.35,12.03,,,160.25353090417246,,,-2.373837755266526,1.158658,,,-1.157883008116861
TYC 4273-149-1,2022-12-07 21:19:12.085,339.36657125,64.86602138888888,339.39727695184075,64.88341714462965,0.0217391705328228,,12.062689781188965,12.75,12.0,,,138.53279829917096,,,-2.215700254389673,1.158658,,,-0.9997455072400077
TYC 4273-319-1,2022-12-07 21:19:12.085,339.58776499999993,65.066285,339.51009125264994,65.06318152044662,0.0328935194588847,,12.238874435424805,12.89,12.44,,,234.65553621582023,,,-2.787895749632817,1.158658,,,-1.5719410024831517
TYC 4273-351-1,2022-12-07 21:19:12.085,340.0602133333333,65.05962083333333,340.04463121428006,65.08862449232454,0.0297378190077168,,12.543932914733888,12.68,12.2,,,98.72189328728172,,,-1.8478524264001897,1.158658,,,-0.6318976792505244
TYC 4273-435-1,2022-12-07 21:19:12.085,339.8296558333333,64.86889416666666,339.8643659396137,64.89807531408178,0.0326894867539223,,12.39925765991211,12.99,12.02,,,663.135551889307,,,-3.9158245168523145,1.158658,,,-2.6998697697026492
TYC 4273-659-1,2022-12-07 21:19:12.085,340.02271916666666,64.95526805555556,339.98199393388325,64.93349233049176,0.0277784599175266,,10.68376636505127,11.52,10.84,,,166.7651443671577,,,-2.4170819466582865,1.158658,,,-1.2011271995086212
TYC 4273-695-1,2022-12-07 21:19:12.085,339.6230466666666,65.06957249999999,339.61128713978525,65.08205759757713,0.0134326640250752,,11.706887245178224,12.47,12.15,,,236.92124519165736,,,-2.7983287535041628,1.158658,,,-1.5823740063544975
TYC 4273-849-1,2022-12-07 21:19:12.085,339.3875783333333,65.02880222222223,339.45583860675407,65.01450998728347,0.0321734122214102,,12.342562675476074,13.1,12.34,,,1450.725733619517,,,-4.76578202430734,1.158658,,,-3.5498272771576747
V* RZ Cep,2022-12-07 21:19:12.085,339.8049033333333,64.85850305555554,339.84433453308225,64.85076976112792,0.0184535214407256,9.300000190734863,9.294269561767578,9.48,9.49,,,1328.826144970075,,,-4.670489148177989,1.158658,,,-3.4545344010283237
TYC 4273-1186-1,2022-12-07 21:24:20.450,339.8064062499999,65.00935527777777,339.806472129875,65.02228561345004,0.0129303656119475,,11.109890937805176,11.52,11.2,,,136.17422234990028,,,-2.1970559968088725,1.16511,,,-1.5625019974778216
TYC 4273-1351-1,2022-12-07 21:24:20.450,339.94506458333325,64.84511472222222,339.9662272843424,64.87275219592387,0.0290631539266604,,11.598641395568848,12.35,12.03,,,163.18524883947242,,,-2.3935209823984493,1.16511,,,-1.7589669830673984
TYC 4273-149-1,2022-12-07 21:24:20.450,339.36657125,64.86602138888888,339.4149565910496,64.87538973393946,0.0225823577888471,,12.062689781188965,12.75,12.0,,,158.9071940711488,,,-2.364677634990806,1.16511,,,-1.7301236356597551
